date,symbol,adv_shares
2023-01-03,600000.SH,162116.95
2023-01-03,600519.SH,258203.74
2023-01-03,000001.SZ,202937.9
2023-01-03,300750.SZ,191836.72
2023-01-03,601318.SH,132615.71
2023-01-03,000858.SZ,183400.77
2023-01-03,002594.SZ,279416.92
2023-01-03,600036.SH,261085.63
2023-01-04,600000.SH,156779.65
2023-01-04,600519.SH,171566.41
2023-01-04,000001.SZ,235107.97
2023-01-04,300750.SZ,173696.47
2023-01-04,601318.SH,221807.86
2023-01-04,000858.SZ,229537.29
2023-01-04,002594.SZ,170092.74
2023-01-04,600036.SH,156974.19
2023-01-05,600000.SH,222667.45
2023-01-05,600519.SH,408555.69
2023-01-05,000001.SZ,127237.84
2023-01-05,300750.SZ,147140.46
2023-01-05,601318.SH,200249.75
2023-01-05,000858.SZ,196536.22
2023-01-05,002594.SZ,372326.54
2023-01-05,600036.SH,225567.68
2023-01-06,600000.SH,211111.11
2023-01-06,600519.SH,108826.1
2023-01-06,000001.SZ,90209.17
2023-01-06,300750.SZ,329673.52
2023-01-06,601318.SH,184656.82
2023-01-06,000858.SZ,497053.33
2023-01-06,002594.SZ,197830.96
2023-01-06,600036.SH,239861.39
2023-01-09,600000.SH,253179.43
2023-01-09,600519.SH,371305.4
2023-01-09,000001.SZ,403702.99
2023-01-09,300750.SZ,392577.84
2023-01-09,601318.SH,230577.57
2023-01-09,000858.SZ,179169.42
2023-01-09,002594.SZ,192785.06
2023-01-09,600036.SH,290045.03
2023-01-10,600000.SH,272576.29
2023-01-10,600519.SH,100374.47
2023-01-10,000001.SZ,168578.93
2023-01-10,300750.SZ,139504.76
2023-01-10,601318.SH,151090.81
2023-01-10,000858.SZ,207535.59
2023-01-10,002594.SZ,219816.7
2023-01-10,600036.SH,123320.82
2023-01-11,600000.SH,142342.92
2023-01-11,600519.SH,143785.91
2023-01-11,000001.SZ,122250.85
2023-01-11,300750.SZ,396083.81
2023-01-11,601318.SH,301835.29
2023-01-11,000858.SZ,347234.38
2023-01-11,002594.SZ,126114.73
2023-01-11,600036.SH,142067.77
2023-01-12,600000.SH,132838.46
2023-01-12,600519.SH,192688.3
2023-01-12,000001.SZ,151804.77
2023-01-12,300750.SZ,285601.14
2023-01-12,601318.SH,265360.36
2023-01-12,000858.SZ,311779.12
2023-01-12,002594.SZ,168668.59
2023-01-12,600036.SH,154801.38
2023-01-13,600000.SH,261564.39
2023-01-13,600519.SH,222492.42
2023-01-13,000001.SZ,176536.88
2023-01-13,300750.SZ,236945.37
2023-01-13,601318.SH,135121.77
2023-01-13,000858.SZ,233758.95
2023-01-13,002594.SZ,173206.66
2023-01-13,600036.SH,324511.25
2023-01-16,600000.SH,121111.19
2023-01-16,600519.SH,232787.71
2023-01-16,000001.SZ,328100.56
2023-01-16,300750.SZ,216340.52
2023-01-16,601318.SH,180474.75
2023-01-16,000858.SZ,147010.87
2023-01-16,002594.SZ,261664.39
2023-01-16,600036.SH,215668.68
2023-01-17,600000.SH,235353.67
2023-01-17,600519.SH,137842.0
2023-01-17,000001.SZ,132127.83
2023-01-17,300750.SZ,185322.41
2023-01-17,601318.SH,215980.55
