date,symbol,close
2023-01-03,600000.SH,94.54
2023-01-03,600519.SH,86.17
2023-01-03,000001.SZ,66.78
2023-01-03,300750.SZ,88.19
2023-01-03,601318.SH,90.69
2023-01-03,000858.SZ,71.25
2023-01-03,002594.SZ,53.53
2023-01-03,600036.SH,77.94
2023-01-04,600000.SH,102.55
2023-01-04,600519.SH,71.51
2023-01-04,000001.SZ,70.83
2023-01-04,300750.SZ,107.44
2023-01-04,601318.SH,63.51
2023-01-04,000858.SZ,64.96
2023-01-04,002594.SZ,102.37
2023-01-04,600036.SH,102.93
2023-01-05,600000.SH,68.93
2023-01-05,600519.SH,49.33
2023-01-05,000001.SZ,77.63
2023-01-05,300750.SZ,119.8
2023-01-05,601318.SH,87.73
2023-01-05,000858.SZ,97.17
2023-01-05,002594.SZ,45.37
2023-01-05,600036.SH,82.08
2023-01-06,600000.SH,92.28
2023-01-06,600519.SH,103.45
2023-01-06,000001.SZ,119.45
2023-01-06,300750.SZ,72.06
2023-01-06,601318.SH,78.01
2023-01-06,000858.SZ,49.11
2023-01-06,002594.SZ,71.68
2023-01-06,600036.SH,59.7
2023-01-09,600000.SH,97.51
2023-01-09,600519.SH,64.2
2023-01-09,000001.SZ,43.09
2023-01-09,300750.SZ,46.76
2023-01-09,601318.SH,83.51
2023-01-09,000858.SZ,100.41
2023-01-09,002594.SZ,70.99
2023-01-09,600036.SH,99.55
2023-01-10,600000.SH,48.72
2023-01-10,600519.SH,100.96
2023-01-10,000001.SZ,79.13
2023-01-10,300750.SZ,85.62
2023-01-10,601318.SH,94.42
2023-01-10,000858.SZ,92.06
2023-01-10,002594.SZ,72.75
2023-01-10,600036.SH,95.36
2023-01-11,600000.SH,105.51
2023-01-11,600519.SH,85.65
2023-01-11,000001.SZ,96.75
2023-01-11,300750.SZ,56.46
2023-01-11,601318.SH,72.59
2023-01-11,000858.SZ,48.35
2023-01-11,002594.SZ,108.29
2023-01-11,600036.SH,87.94
2023-01-12,600000.SH,82.58
2023-01-12,600519.SH,71.14
2023-01-12,000001.SZ,105.8
2023-01-12,300750.SZ,82.46
