date,symbol,side,shares
2023-01-03,600519.SH,buy,8195.06
2023-01-03,601318.SH,buy,7302.03
2023-01-03,600036.SH,sell,14841.61
2023-01-04,600000.SH,buy,11627.68
2023-01-04,000858.SZ,buy,11813.68
2023-01-04,002594.SZ,sell,11277.32
2023-01-05,000001.SZ,buy,13211.94
2023-01-05,601318.SH,sell,7974.51
2023-01-05,002594.SZ,buy,24759.28
2023-01-06,300750.SZ,sell,13698.62
2023-01-06,000858.SZ,buy,21165.54
2023-01-06,600036.SH,sell,16001.0
2023-01-09,000001.SZ,buy,20380.74
2023-01-09,601318.SH,sell,13936.74
2023-01-09,000858.SZ,sell,8056.99
2023-01-10,600519.SH,buy,8410.48
2023-01-10,000001.SZ,buy,11018.0
2023-01-10,601318.SH,buy,9536.3
2023-01-11,300750.SZ,sell,18458.83
2023-01-11,601318.SH,sell,16036.45
2023-01-11,600036.SH,buy,9575.06
2023-01-12,000001.SZ,sell,7521.77
2023-01-12,601318.SH,buy,9700.61
2023-01-12,600036.SH,sell,8962.96
2023-01-13,000001.SZ,sell,8255.8
2023-01-13,601318.SH,sell,8362.38
2023-01-13,600036.SH,buy,18841.87
2023-01-16,000001.SZ,buy,17043.72
2023-01-16,002594.SZ,buy,14596.38
2023-01-16,600036.SH,buy,13363.3
2023-01-17,601318.SH,buy,13735.63
2023-01-17,002594.SZ,sell,15652.99
2023-01-17,600036.SH,sell,19657.22
2023-01-18,600519.SH,buy,7953.52
2023-01-18,601318.SH,buy,11256.54
2023-01-18,002594.SZ,sell,20605.56
2023-01-19,600000.SH,buy,18046.32
2023-01-19,300750.SZ,buy,13950.26
2023-01-19,000858.SZ,sell,10477.11
2023-01-20,000001.SZ,buy,9518.05
2023-01-20,601318.SH,sell,13077.87
2023-01-20,002594.SZ,sell,10677.42
2023-01-23,000001.SZ,sell,15541.13
2023-01-23,601318.SH,sell,14771.52
2023-01-23,600036.SH,sell,11559.3
2023-01-24,300750.SZ,sell,15845.15
2023-01-24,601318.SH,sell,7091.51
2023-01-24,002594.SZ,sell,13166.25
2023-01-25,600000.SH,sell,17278.37
2023-01-25,000001.SZ,buy,11206.24
2023-01-25,000858.SZ,sell,12518.75
